id;signature_eleve;bulletin_scanne;bulletin_scanne_content_type
1;bottom-line a;../fake-data/blob/hipster.png;image/png
2;Saint-Honoré function complexity;../fake-data/blob/hipster.png;image/png
3;back-end reboot compress;../fake-data/blob/hipster.png;image/png
4;Market multi-byte;../fake-data/blob/hipster.png;image/png
5;Awesome;../fake-data/blob/hipster.png;image/png
6;quantify Ingenieur Account;../fake-data/blob/hipster.png;image/png
7;HDD Handcrafted payment;../fake-data/blob/hipster.png;image/png
8;tan Bhoutan e-markets;../fake-data/blob/hipster.png;image/png
9;success Industrial;../fake-data/blob/hipster.png;image/png
10;Virtual Picardie mobile;../fake-data/blob/hipster.png;image/png
